,original,edited
35,"Hillary Clinton, Tracy Flick, and the Reclaiming of Female Ambition",There is nothing is string - anyway it is going to be ignored
36,"Trump bans electronics on some flights from Middle East, Africa",There is nothing is string - anyway it is going to be ignored
37,Mom’s smoking can alter fetus’ DNA,There is nothing is string - anyway it is going to be ignored
38,Drinking white wine could be putting you at risk for cancer,There is nothing is string - anyway it is going to be ignored
39,Manufacturing slower to grow in California than elsewhere in U.S. - LA Times,There is nothing is string - anyway it is going to be ignored
40,Is the Met Museum ‘a Great Institution in Decline’? - The New York Times,There is nothing is string - anyway it is going to be ignored
41,Things are so bleak in the oil industry that an offshore-drilling company got a 90% discount on a $700 million rig,There is nothing is string - anyway it is going to be ignored
42,Jeb Bush Bets $20 Donald Trump Will Show Up For Iowa Debate - Breitbart,There is nothing is string - anyway it is going to be ignored
43,"Maoists for Trump? In China, Fans Admire His Nationalist Views - The New York Times",There is nothing is string - anyway it is going to be ignored
44,Sessions isn’t the only Cabinet member who gave testimony that turned out not to be true,There is nothing is string - anyway it is going to be ignored
45,The 13th Juror: Boston bomber’s trial a horror show,There is nothing is string - anyway it is going to be ignored
46,Moderate Republicans turn against GOP bill,There is nothing is string - anyway it is going to be ignored
47,Injured Yazidi toddler to reunite with family,There is nothing is string - anyway it is going to be ignored
48,Opinion | Trump Is Going to Make a Huge Mistake on the Iran Deal - The New York Times,There is nothing is string - anyway it is going to be ignored
49,Don’t Get Too Comfortable at That Desk - The New York Times,There is nothing is string - anyway it is going to be ignored
50,83 brutal seconds of Donald Trump totally contradicting himself on foreign policy,There is nothing is string - anyway it is going to be ignored
51,The EpiPen boss tried to defend price hikes to Congress. No one bought it,There is nothing is string - anyway it is going to be ignored
52,Novak Djokovic Defeats Roger Federer to Win U.S. Open - The New York Times,There is nothing is string - anyway it is going to be ignored
53,Trump plans a series of policy speeches,There is nothing is string - anyway it is going to be ignored
54,Coulter Says ’Trump Should Deport Nikki Haley’ After SOTU Response,There is nothing is string - anyway it is going to be ignored
55,Huffington Post: DePaul Admins Told Police Not To Do Their Jobs,There is nothing is string - anyway it is going to be ignored
56,The definitive ranking of Wall Street investment banks in every business line,There is nothing is string - anyway it is going to be ignored
57,For the record - LA Times,There is nothing is string - anyway it is going to be ignored
58,John le Carré to make rare public appearance to discuss new novel,There is nothing is string - anyway it is going to be ignored
59, Trump Will Have Access To Personal Info Of “Dreamers” For Deportation Efforts,There is nothing is string - anyway it is going to be ignored
60,Evening Standard Profiles MILO To Distinguish ’The Man From The Myth’ - Breitbart,There is nothing is string - anyway it is going to be ignored
61,Everyone Will Be Covered (Except For 24 Million),There is nothing is string - anyway it is going to be ignored
62,"Wahlbergers workers sue over unpaid tips, overtime wages",There is nothing is string - anyway it is going to be ignored
63,The Tourist Sublime,There is nothing is string - anyway it is going to be ignored
64,Houston Prepares Now For Zika’s Potential Arrival This Summer ,There is nothing is string - anyway it is going to be ignored
65,Master-planned community will get water under new agreement - LA Times,There is nothing is string - anyway it is going to be ignored
66, EPA Names Asbestos To New List Of Dangerous Chemicals That May Be Banned,There is nothing is string - anyway it is going to be ignored
67,"Report: Clinton, Sanders Campaigns Agree To Attend 4 More Debates",There is nothing is string - anyway it is going to be ignored
68,What Do the Trumpsters Want?,There is nothing is string - anyway it is going to be ignored
69,Why Congress will probably never see Trump’s ‘tapes’ of his conversations with James Comey,There is nothing is string - anyway it is going to be ignored
70,Why Even Some Republicans Are Rejecting the Replacement Bill - The New York Times,There is nothing is string - anyway it is going to be ignored
71,WATCH: Utah Lt. Governor Apologizes For Past Attitude Toward Gay People,There is nothing is string - anyway it is going to be ignored
72,Russia denies supplying Taliban after Scaparrotti claim,There is nothing is string - anyway it is going to be ignored
73,Pete Rose's banishment from baseball must extend to the Hall of Fame - LA Times,There is nothing is string - anyway it is going to be ignored
74,Officer in critical condition after being dragged by stolen car,There is nothing is string - anyway it is going to be ignored
75,"On the eve of Mardi Gras, a photographer’s walk through the French Quarter",There is nothing is string - anyway it is going to be ignored
76,"Disney’s Challenge: Keeping It ‘Frozen,’ but Still Fresh - The New York Times",There is nothing is string - anyway it is going to be ignored
77,The Trump administration just quietly admitted that the Iran deal is working,There is nothing is string - anyway it is going to be ignored
78,WikiLeaks: We’ll Work with Tech Firms to Defeat CIA Hacking - Breitbart,There is nothing is string - anyway it is going to be ignored
79,"How a hedge fund legend took time out, busked on the New York subway, and found himself in the process",There is nothing is string - anyway it is going to be ignored
80,Syrian army gaining ground in effort to re-take Palmyra,There is nothing is string - anyway it is going to be ignored
81,Grammy 2018 Winners: Full List - The New York Times,There is nothing is string - anyway it is going to be ignored
82,Fox Searchlight to Register Voters Before ’Birth of a Nation’,There is nothing is string - anyway it is going to be ignored
83,'She's Not Mean. She's Just Being Kamala.' - Breitbart,There is nothing is string - anyway it is going to be ignored
84,Dem Debate Opens With Question For Clinton On What Went Wrong In Michigan,There is nothing is string - anyway it is going to be ignored
85,"My partner and I have $120,000 in student debt. Here’s how we manage it.",There is nothing is string - anyway it is going to be ignored
86,Batman v Superman spoilers: let’s talk about them,There is nothing is string - anyway it is going to be ignored
87,Is Target Losing Its Cool?,There is nothing is string - anyway it is going to be ignored
88,This tiny robot is a real life Wall-E,There is nothing is string - anyway it is going to be ignored
89,Etan Patz retrial is underway,There is nothing is string - anyway it is going to be ignored
90,Men are ruling the new fall TV season,There is nothing is string - anyway it is going to be ignored
91,"Is the Border in Crisis? ‘We’re Doing Fine, Quite Frankly,’ a Border City Mayor Says - The New York Times",There is nothing is string - anyway it is going to be ignored
92,TRUMP: ’Fidel Castro is dead!’,There is nothing is string - anyway it is going to be ignored
93, A Slap On The Wrist For The School Where Students Couldn’t Fail,There is nothing is string - anyway it is going to be ignored
94,Rep. Steve King Stands By Controversial Tweet About 'Somebody Else's Babies',There is nothing is string - anyway it is going to be ignored
95,The Politics of Retelling Norse Mythology,There is nothing is string - anyway it is going to be ignored
96,Jill Stein says she’ll ’escalate’ Pennsylvania recount case after earlier plans to drop it,There is nothing is string - anyway it is going to be ignored
97,Report: Saudis vow to sell US assets if Congress decides gov was involved in 9/11,There is nothing is string - anyway it is going to be ignored
98,Sloppy England earn point in Slovenia thanks to Joe Hart’s stunning saves,There is nothing is string - anyway it is going to be ignored
99,Bernie Sanders Supporter Charged After Crushing Pro-Trump Roadside Sign - Breitbart,There is nothing is string - anyway it is going to be ignored
100,The Patriots had another cutthroat day,There is nothing is string - anyway it is going to be ignored
101,"Hoping To Correct Reporting Problems, Iowans Will Report Caucus Results Via App",There is nothing is string - anyway it is going to be ignored
102,Lindsey Graham's political career,There is nothing is string - anyway it is going to be ignored
103,A politician used the n-word in front of black colleagues. He just resigned.,There is nothing is string - anyway it is going to be ignored
104,Steelers Hold On Against Chiefs to Reach A.F.C. Championship - The New York Times,There is nothing is string - anyway it is going to be ignored
105,Donald Trump's Great Gay Rock-Star Spectacle,There is nothing is string - anyway it is going to be ignored
106, President Trump Is Going To War With The Numbers He Doesn’t Like,There is nothing is string - anyway it is going to be ignored
107,More Women in Their 60s and 70s Are Having ‘Way Too Much Fun’ to Retire - The New York Times,There is nothing is string - anyway it is going to be ignored
108,"As senator, Clinton promised 200,000 jobs in Upstate New York. Her efforts fell flat.",There is nothing is string - anyway it is going to be ignored
109,"MILO Gives ICE Hotline To UNM Students: ’If You See Something, Say Something - Breitbart",There is nothing is string - anyway it is going to be ignored
110,"Watch: Central Michigan Upsets OK State on Hail Mary, Lateral - Breitbart",There is nothing is string - anyway it is going to be ignored
111,Timberlake steps in for DiCaprio to host Clinton fundraiser,There is nothing is string - anyway it is going to be ignored
112,CNN's Brian Stelter Slams Donald Trump For Being A 'Fox News Presidency',There is nothing is string - anyway it is going to be ignored
113,Trump’s inaugural speech was a sharp break with past — and his party,There is nothing is string - anyway it is going to be ignored
114,"How to Win $1 Million for Your Film? Pitch, Pitch, Pitch - The New York Times",There is nothing is string - anyway it is going to be ignored
115,"For the Wealthiest, a Private Tax System That Saves Them Billions - The New York Times",There is nothing is string - anyway it is going to be ignored
116,5 Questions After A Chaotic Week In The Trump White House,There is nothing is string - anyway it is going to be ignored
117,"After Wisconsin, Demographics Suggest Rougher Terrain For Sanders, Cruz",There is nothing is string - anyway it is going to be ignored
118,"To legalize pot, stop the infighting (Opinion)",There is nothing is string - anyway it is going to be ignored
119,How to stop planes colliding on world's busiest runways,There is nothing is string - anyway it is going to be ignored
120,"Otto Warmbier, Detained American, Is Evacuated From North Korea in a Coma - The New York Times",There is nothing is string - anyway it is going to be ignored
121,China hints at looming trade war as Trump talks to Chinese president,There is nothing is string - anyway it is going to be ignored
122,Dems Slam Bernie Sanders Over Party Chair Race: 'He Isn't Even in Our Party!' - Breitbart,There is nothing is string - anyway it is going to be ignored
123,"Someone just lost a ton of money on LinkedIn, and the SEC probably has questions",There is nothing is string - anyway it is going to be ignored
124,Raising Floor for Minimum Wage Pushes Economy Into the Unknown - The New York Times,There is nothing is string - anyway it is going to be ignored
125,Obama Warned Trump About Michael Flynn During Oval Office Meeting,There is nothing is string - anyway it is going to be ignored
126,U.S. attorney general unveils 12-city partnership to fight crime,There is nothing is string - anyway it is going to be ignored
127,Black Riot,There is nothing is string - anyway it is going to be ignored
128,Sally Field: 'I never felt that I had very many choices. Ever',There is nothing is string - anyway it is going to be ignored
129,How To Be an Ally,There is nothing is string - anyway it is going to be ignored
130,Will the Ninth Circuit Punt — for Now — on Trump’s Travel Ban?,There is nothing is string - anyway it is going to be ignored
131,WHO says new drugs urgently needed to fight superbugs,There is nothing is string - anyway it is going to be ignored
132,Watch: Naked Hillary Clinton Statue Causes Fight in Manhattan - Breitbart,There is nothing is string - anyway it is going to be ignored
133,"Opinion | Trump’s Talk Worries Me, Like the Talk Before the Iraq War - The New York Times",There is nothing is string - anyway it is going to be ignored
134,This 8-foot vortex could swallow full-size boat   - CNN Video,There is nothing is string - anyway it is going to be ignored
135,"Trump rushed off stage in Reno by security, but quickly returns",There is nothing is string - anyway it is going to be ignored
136, People Are Going To Prison Thanks To DNA Software — But How It Works Is Secret,There is nothing is string - anyway it is going to be ignored
137,The Cowgirls of Color: the black women’s team bucking rodeo trends,There is nothing is string - anyway it is going to be ignored
138,Republicans can repeal Obamacare. They can’t repeal the logic of health insurance.,There is nothing is string - anyway it is going to be ignored
139,Russia's ruling party wins 51 percent in election: preliminary tally,There is nothing is string - anyway it is going to be ignored
140,Trump’s “tax plan” isn’t a real plan,There is nothing is string - anyway it is going to be ignored
141,5 innovations in radiology that could impact everything from the Zika virus to dermatology,There is nothing is string - anyway it is going to be ignored
142,"My Vote, Explained",There is nothing is string - anyway it is going to be ignored
143,Russia and Allies to Raise Guard at Borders With Afghanistan - The New York Times,There is nothing is string - anyway it is going to be ignored
144,Comcast Goes Mobile With Cellphone Service For Existing Customers,There is nothing is string - anyway it is going to be ignored
145, Genius: These German Buses Have Bookshelves With Free Books,There is nothing is string - anyway it is going to be ignored
146,"A Swedish Curmudgeon Wins Hearts, On The Page, And Now On Screen",There is nothing is string - anyway it is going to be ignored
147, It Just Got Much Harder To Know What’s Going On In US Animal Research Labs,There is nothing is string - anyway it is going to be ignored
148,ACLU Backs Zuckerberg Censorship of New Media on Facebook - Breitbart,There is nothing is string - anyway it is going to be ignored
149,Mission Viejo wipes out 13-point halftime deficit to beat Tesoro - LA Times,There is nothing is string - anyway it is going to be ignored
150,Hillary Clinton doesn’t need to choose between a reassuring campaign and progressive policies,There is nothing is string - anyway it is going to be ignored
151,Ava DuVernay’s 13th Reframes American History,There is nothing is string - anyway it is going to be ignored
152,"For Post-Brexit British Vacationers, Staying Home Now Seems Appealing",There is nothing is string - anyway it is going to be ignored
153,Why Ikea product names are impossible to pronounce,There is nothing is string - anyway it is going to be ignored
154,"Half of misogynistic tweets sent by women, study finds",There is nothing is string - anyway it is going to be ignored
155,#BackstoBetsy: Graduates Turn Backs on DeVos During Commencement at Historically Black College,There is nothing is string - anyway it is going to be ignored
156,Dr. Andrew Weil Says We’re Taking Too Many Medicines - The New York Times,There is nothing is string - anyway it is going to be ignored
157,Trump orders review of financial rules to prevent future crises,There is nothing is string - anyway it is going to be ignored
158,Boyte & Lansing: What 'We The People' Means In The Era Of Trump,There is nothing is string - anyway it is going to be ignored
159,The Slopes of Davos,There is nothing is string - anyway it is going to be ignored
160,Gen. Hayden: I’ve changed my mind about special prosecutors ,There is nothing is string - anyway it is going to be ignored
161,Going From Bond Girl to ‘a Normal Life’ - The New York Times,There is nothing is string - anyway it is going to be ignored
162,Texas Enacts 'Anti-Sharia' Law,There is nothing is string - anyway it is going to be ignored
163,Oscar gets caught in the crossfire of a social-justice civil war,There is nothing is string - anyway it is going to be ignored
164,’Swimming In A Trance-Like State’: Paul Simon On Philip Glass,There is nothing is string - anyway it is going to be ignored
165,Brazil senators set final vote on labor reform for July 11,There is nothing is string - anyway it is going to be ignored
166,"Merrill Lynch restructures national business regions, leadership",There is nothing is string - anyway it is going to be ignored
167,"Omar Mateen, Twice Scrutinized by F.B.I., Shows Threat of Lone Terrorists - The New York Times",There is nothing is string - anyway it is going to be ignored
168,Melania Trump and the Case of the White Pantsuit - The New York Times,There is nothing is string - anyway it is going to be ignored
169,F.B.I. Interviews Hillary Clinton Over Private Email Server - The New York Times,There is nothing is string - anyway it is going to be ignored
170,"Venezuela Drifts Into New Territory: Hunger, Blackouts and Government Shutdown - The New York Times",There is nothing is string - anyway it is going to be ignored
171,Snapchat denies claim CEO did not want to expand into 'poor India',There is nothing is string - anyway it is going to be ignored
172,Reince Priebus: Media Obsessed With Trying to ’Delegitimize’ President Trump - Breitbart,There is nothing is string - anyway it is going to be ignored
173,This one sentence from Trump perfectly captures the GOP convention house of horrors,There is nothing is string - anyway it is going to be ignored
174,Donald Trump Dances Around His Latest Campaign Controversy,There is nothing is string - anyway it is going to be ignored
175,"As Pokémon Go Evolves, Businesses Are Squeezing Themselves In",There is nothing is string - anyway it is going to be ignored
176,Gene Wilder was a new kind of Hollywood star ,There is nothing is string - anyway it is going to be ignored
177,"If You Don’t Have Children, What Do You Leave Behind? - The New York Times",There is nothing is string - anyway it is going to be ignored
178,The laziest investing argument in the world gets blown up,There is nothing is string - anyway it is going to be ignored
179,Trump Has Made His Supreme Court Nomination. What Happens Next? - The New York Times,There is nothing is string - anyway it is going to be ignored
180, Trump’s For-Profit Campaign,There is nothing is string - anyway it is going to be ignored
181,"U.S. Household Income Grew 5.2 Percent in 2015, Breaking Pattern of Stagnation - The New York Times",There is nothing is string - anyway it is going to be ignored
182,The land of cold and gold,There is nothing is string - anyway it is going to be ignored
183,The harsh reality of being transgender in Uganda,There is nothing is string - anyway it is going to be ignored
184,Tucker Carlson: Bernie Sanders Revealed Himself As ’a Puppet of People in Power’ - Breitbart,There is nothing is string - anyway it is going to be ignored
185,Supreme Court Backs Anti-Abortion Pregnancy Centers in Free Speech Case - The New York Times,There is nothing is string - anyway it is going to be ignored
186," Trump Runs Twitter Now, But He’s Not Going To ""Save"" It",There is nothing is string - anyway it is going to be ignored
187,"Sheldon Adelson Focuses on Congressional Races, Despite Donald Trump’s Pleas - The New York Times",There is nothing is string - anyway it is going to be ignored
188,Breitbart’s Aaron Klein: Adopt Israeli Model of Armed Guards at U.S. Soft Targets - Breitbart,There is nothing is string - anyway it is going to be ignored
189,MIT scientists find evidence that Alzheimer’s ‘lost memories’ may one day be recoverable,There is nothing is string - anyway it is going to be ignored
190,Tillerson: Trump Talked Comey Firing With Russians To Prove He Wasn’t ‘Distracted’,There is nothing is string - anyway it is going to be ignored
191,"As he moves campaign to battlegrounds, which Donald Trump will show up?",There is nothing is string - anyway it is going to be ignored
192,’Big Bang Theory’ pays tribute to Leonard Nimoy,There is nothing is string - anyway it is going to be ignored
193,J. Rachel Reed on 'K-9 Korea: The Untold Story of America's War Dogs in the Korean War',There is nothing is string - anyway it is going to be ignored
194,"‘Fake News,’ Trump’s Obsession, Is Now a Cudgel for Strongmen - The New York Times",There is nothing is string - anyway it is going to be ignored
195,"The 'Grammar Vigilante': Defender Of Truth, Justice And The Grammarian Way",There is nothing is string - anyway it is going to be ignored
196,Elitism won’t defeat Trumpism,There is nothing is string - anyway it is going to be ignored
197,Best and worst foods to eat when sick,There is nothing is string - anyway it is going to be ignored
198,Opinion | Can My Children Be Friends With White People? - The New York Times,There is nothing is string - anyway it is going to be ignored
199,"France, Italy, Germany defend Paris Accord, say cannot be renegotiated",There is nothing is string - anyway it is going to be ignored
200,WaPo: Steve Bannon’s Navy Service During Carter’s Iran Hostage Crisis Shaped His Politics,There is nothing is string - anyway it is going to be ignored
201,Consumer confidence slips; new home sales hit eight-month high,There is nothing is string - anyway it is going to be ignored
202,Clinton Adviser Sid Blumenthal Spread Birther Story -- Editor,There is nothing is string - anyway it is going to be ignored
203,Dodgers' Zack Greinke is treated rudely in Kansas City - LA Times,There is nothing is string - anyway it is going to be ignored
204,Why Bats Crash Into Buildings - The New York Times,There is nothing is string - anyway it is going to be ignored
205,Australia Makes Riesling Its Own - The New York Times,There is nothing is string - anyway it is going to be ignored
206,Girl Scouts evacuated from White House lawn,There is nothing is string - anyway it is going to be ignored
207,Hilary Duff has nothing to apologize for,There is nothing is string - anyway it is going to be ignored
208, DeRay Mckesson Releases First Campaign Web Videos,There is nothing is string - anyway it is going to be ignored
209,Press Council: Don’t Report Anything that Could ’Stir Up Prejudices’,There is nothing is string - anyway it is going to be ignored
210,"Ford, Trudging Into the Future, Ousts Mark Fields as C.E.O. - The New York Times",There is nothing is string - anyway it is going to be ignored
211,"A Colorblind Artist? Yes, With a Little Help From His Friends - The New York Times",There is nothing is string - anyway it is going to be ignored
212,A Presidential-Election Runoff Would Be Legal for States to Adopt,There is nothing is string - anyway it is going to be ignored
213,Making Sense Of A Song Called ’Widow Maker’,There is nothing is string - anyway it is going to be ignored
214,Apollo astronaut: ’You go to heaven when you are born’,There is nothing is string - anyway it is going to be ignored
215,NYC mansion built for Jesus finally sells,There is nothing is string - anyway it is going to be ignored
216,Florida Governor Declares Zika State of Emergency in 4 Counties - Breitbart,There is nothing is string - anyway it is going to be ignored
217,Opinion | Donald Was a Creep. Too Bad Hillary Couldn’t Say It. - The New York Times,There is nothing is string - anyway it is going to be ignored
218,"Even With an Unfavorable Court Ruling, Much of Obamacare Would Live On - The New York Times",There is nothing is string - anyway it is going to be ignored
219,Washington Post: NeverTrump Movement Faces Nightmare Scenario,There is nothing is string - anyway it is going to be ignored
220,Centuries-Old Flea Market In France Canceled This Year Over Terrorism Fears,There is nothing is string - anyway it is going to be ignored
221,‘The Shape of Water’ and ‘Big Little Lies’ Lead Golden Globe Nominations - The New York Times,There is nothing is string - anyway it is going to be ignored
222,"Biden to Canadian Prime Minister Trudeau: 'We need you very, very badly'",There is nothing is string - anyway it is going to be ignored
223,"This Moon Of Saturn May Be Tiny, But It Sure Looks Like A Mouthful",There is nothing is string - anyway it is going to be ignored
224,"Commentary: From ‘Dreamers’ to nukes, Obama still has time to make a difference",There is nothing is string - anyway it is going to be ignored
225,"22 heavily armed men post mannequin challenge on Facebook, much to delight of cops",There is nothing is string - anyway it is going to be ignored
226,Russia says Syria ceasefire process underway despite U.S. sabotage attempts,There is nothing is string - anyway it is going to be ignored
227,How to Train a Worker,There is nothing is string - anyway it is going to be ignored
228,Fidel Castro's 90th Birthday Message,There is nothing is string - anyway it is going to be ignored
229,PHOTOS: Amber Heard Shares More Evidence of Alleged Assault by Johnny Depp - Breitbart,There is nothing is string - anyway it is going to be ignored
230,"Cement Shoes, Fabled Anchor to Watery Grave, Surface in Brooklyn - The New York Times",There is nothing is string - anyway it is going to be ignored
231,"Obama administration placed children with human traffickers, report says",There is nothing is string - anyway it is going to be ignored
232,Deutsche Bank agrees to pay $7.2B for lying to investors,There is nothing is string - anyway it is going to be ignored
233,Why Women Quit Working: It’s Not for the Reasons Men Do - The New York Times,There is nothing is string - anyway it is going to be ignored
234,'Celebrity Apprentice' Ratings Drop Without Trump,There is nothing is string - anyway it is going to be ignored
235,Rocky opening for GOP convention as Cruz forces clash with team Trump,There is nothing is string - anyway it is going to be ignored
236,Negotiations to repeal North Carolina 'bathroom bill' fall apart,There is nothing is string - anyway it is going to be ignored
237,Pokemon Go crashes and hackers claim responsibility,There is nothing is string - anyway it is going to be ignored
238,Football: Standout running back James Williams sidelined with torn ACL - LA Times,There is nothing is string - anyway it is going to be ignored
239,Authentic Brands files confidentially for an IPO,There is nothing is string - anyway it is going to be ignored
240,Travel junkie sets out to make history on epic journey,There is nothing is string - anyway it is going to be ignored
241,"A Young Athlete’s World of Pain, and Where It Led - The New York Times",There is nothing is string - anyway it is going to be ignored
242,Jonathan Demme was one of our most empathetic directors. These 5 films explain why.,There is nothing is string - anyway it is going to be ignored
243,"Super Bowl ads incorporate humor, politics, and everything in between",There is nothing is string - anyway it is going to be ignored
244,David Bowie’s Seal of Approval Bolsters Art at Auction - The New York Times,There is nothing is string - anyway it is going to be ignored
245,Romney suggests a 'bombshell' in Trump's tax returns,There is nothing is string - anyway it is going to be ignored
246,Fifth-Graders Revisit King's 'Dream' Speech At The Lincoln Memorial,There is nothing is string - anyway it is going to be ignored
247,Richard Simmons’s Disappearing Act Inspires a Hit Podcast - The New York Times,There is nothing is string - anyway it is going to be ignored
248,Trump Campaign Launches $25 Million Ad Buy in Key States - Breitbart,There is nothing is string - anyway it is going to be ignored
249,U.S. Hospitals Wrestle With Shortages of Drug Supplies Made in Puerto Rico - The New York Times,There is nothing is string - anyway it is going to be ignored
250,Here's why Trump should be careful criticizing the Freedom Caucus,There is nothing is string - anyway it is going to be ignored
251,CBS' CEO Moonves says Viacom undervalued,There is nothing is string - anyway it is going to be ignored
252,We All Avoid Taxes,There is nothing is string - anyway it is going to be ignored
253,Here's what everyone is getting wrong about Bill Clinton's 1994 crime reforms,There is nothing is string - anyway it is going to be ignored
254,Exclusive: Top cybercrime ring disrupted as authorities raid Moscow offices - sources,There is nothing is string - anyway it is going to be ignored
255,"As Equifax Amassed Ever More Data, Safety Was a Sales Pitch - The New York Times",There is nothing is string - anyway it is going to be ignored
256,The World's Fastest Man Has Never Run a Mile - Breitbart,There is nothing is string - anyway it is going to be ignored
257,Republicans banking on carefully built House firewall,There is nothing is string - anyway it is going to be ignored
258,Choice for Health Secretary Is Vague on Replacing Affordable Care Act - The New York Times,There is nothing is string - anyway it is going to be ignored
259,Oil prices top $50 a barrel for the first time in 2016,There is nothing is string - anyway it is going to be ignored
260," With Felony Charge Looming, Inauguration Day Arrestees Make Early Moves To Get Cases Dismissed",There is nothing is string - anyway it is going to be ignored
261, Egypt Is Making A Habit Of Arresting People With Facebook Pages They Don’t Like,There is nothing is string - anyway it is going to be ignored
262,"Aleppo sees shelling, air strikes again as Assad urges peace talks",There is nothing is string - anyway it is going to be ignored
263,"3M+ 'Remain' Petition Uses 'Script' To 'Fake' Signatures: 25,000 From North Korea, 2,800 From Uninhabitable Antarctic",There is nothing is string - anyway it is going to be ignored
264,"When The U.S. Backs Gay And Lesbian Rights In Africa, Is There A Backlash?",There is nothing is string - anyway it is going to be ignored
265,Short Circuit,There is nothing is string - anyway it is going to be ignored
266,Opinion | Will Brazilians Cancel Carnival? - The New York Times,There is nothing is string - anyway it is going to be ignored
267,Clinton Right Hand Woman Huma Abedin Takes the Stage at Center of Email Scandal - Breitbart,There is nothing is string - anyway it is going to be ignored
268,Half a decade of Matt Harvey swagger built to this sad civil war,There is nothing is string - anyway it is going to be ignored
269,How The Long-Lash Look Went From The Red Carpet To Everyday Life,There is nothing is string - anyway it is going to be ignored
270,Obama’s Late Hit on Israel,There is nothing is string - anyway it is going to be ignored
271,Did Michael Flynn Tell the FBI the Truth?,There is nothing is string - anyway it is going to be ignored
272,Cara Buckley: Gearing Up for the 2017 Academy Awards - The New York Times,There is nothing is string - anyway it is going to be ignored
273, Trump Warns Of “Riots” If He Loses GOP Nomination At Contested Convention,There is nothing is string - anyway it is going to be ignored
274,Kevin Love is headed to Cavaliers - LA Times,There is nothing is string - anyway it is going to be ignored
275, Can A Party Dominated By Trump Convince America It Cares About Poverty?,There is nothing is string - anyway it is going to be ignored
